0,1,unison,,,,,,
0 4 7,1 3 5,major,{empty-string},maj,,,,
0 3 7,1 b3 5,minor,m,min,min(C7/B-)D7,,,
0 3 6,1 b3 b5,diminished,dim,o,,,,
0 4 8,1 3 #5,augmented,+,aug,,,,
0 8,1 #5,"augmented, no third",1(#5),,,,,
0 4 7 10,1 3 5 b7,dominant seventh,seventh,7,,,,
0 7 10,1 5 b7,"seventh, no third",5(b7),,,,,
0 10,1 b7,"seventh, no third, no fifth",1(b7),,,,,
0 4 6 10,1 3 b5 b7,"seventh, flat fifth",7b5,"1(b5,b7,3)",,,,
0 4 8 10,1 3 #5 b7,"seventh, sharp fifth",7#5,aug(b7),,,,
0 1 4 7 10,1 3 5 b7 b9,"seventh, flat ninth",7b9,7(b9),,,,
0 3 4 7 10,1 3 5 b7 #9,"seventh, sharp ninth",7#9,7(#9),,,,
0 1 3 4 7 10,1 3 5 b7 b9 #9,"seventh, flat ninth, sharp ninth",7b9#9,,,,,
0 4 6 7 10,1 3 5 b7 #11,"seventh, sharp eleventh",7#11,,,,,
0 3 4 6 7 10,1 3 5 b7 #9 #11,"seventh, sharp ninth, sharp eleventh",7#9#11,,,,,
0 3 4 6 7 11,1 3 5 7 #9 #11,"major seventh, sharp ninth, sharp eleventh",maj7#9#11,,,,,
0 4 7 8 10,1 3 5 b7 b13,"seventh, flat thirteenth",7b13,,,,,
0 5 7 8 10,1 4 5 b7 b13,"seventh, flat thirteenth, suspended fourth",7b13sus4,7b13sus,,,,
0 1 4 6 10,1 3 b5 b7 b9,"seventh, flat ninth, flat fifth",7b9b5,,,,,
0 1 4 8 10,1 3 #5 b7 b9,"seventh, flat ninth, sharp fifth",7b9#5,,,,,
0 3 4 6 10,1 3 b5 b7 #9,"seventh, sharp ninth, flat fifth",7#9b5,,,,,
0 3 4 8 10,1 3 #5 b7 #9,"seventh, sharp ninth, sharp fifth",7#9#5,,,,,
0 4 7 11,1 3 5 7,major seventh,maj7,^,,,,
0 4 6 11,1 3 b5 7,"major seventh, flat fifth",maj7b5,,,,,
0 4 8 11,1 3 #5 7,"major seventh, sharp fifth",maj7#5,,,,,
0 4 6 7 11,1 3 5 7 #11,"major seventh, sharp eleventh",Lydian chord,maj7#11,,,,
0 3 7 10,1 b3 5 b7,minor seventh,m7,min7,,,,
0 3 6 10,1 b3 b5 b7,"minor seventh, flat fifth",m7b5,min7b5,half diminished seventh,hdim7,h7,h
0 3 7 11,1 b3 5 7,"minor, major seventh",m(maj7),m/M7,minmaj7,min:maj7,,
0 3 6 9,1 b3 b5 bb7,diminished seventh,dim7,o7,,,,
0 2 4 7 10,1 3 5 b7 9,ninth,9,^9,,,,
0 2 4 6 10,1 3 b5 b7 9,"ninth, flat fifth",9b5,,,,,
0 2 4 8 10,1 3 #5 b7 9,"ninth, sharp fifth",9#5,"aug(b7,9)",,,,
0 2 4 7 11,1 3 5 7 9,major ninth,maj9,,,,,
0 2 3 7 10,1 b3 5 b7 9,minor ninth,m9,min9,min(9),,,
0 2 3 7 11,1 b3 5 7 9,"minor, major ninth",m(maj9),m/M9,minmaj9,,,
0 1 4 6 7 10,1 3 5 b7 b9 #11,"flat ninth, sharp eleventh",b9#11,7b9#11,,,,
0 2 4 5 7 10,1 3 5 b7 9 11,eleventh,11,,,,,
0 2 4 6 7 10,1 3 5 b7 9 #11,"ninth, sharp eleventh",9#11,,,,,
0 2 4 6 7 11,1 3 5 7 9 #11,"major ninth, sharp eleventh",maj9#11,^9#11,maj#11,,,
